Feature,Statistic,P_Value,Normality
ger_all_male,0.9618284010774659,0.0005205164117271477,Not Normal
ger_all_female,0.9482169786139097,3.6110142620438955e-05,Not Normal
ger_all_total,0.9696426150983968,0.002879268968858019,Not Normal
ger_sc_male,0.6511189512689093,6.01500095654691e-17,Not Normal
ger_sc_female,0.5178007998020276,9.874650676773189e-20,Not Normal
ger_sc_total,0.6290989576983663,1.8629466769217883e-17,Not Normal
ger_st_male,0.9586042219010942,0.0002675265006824621,Not Normal
ger_st_female,0.9631819302332288,0.0006929935376617536,Not Normal
ger_st_total,0.9616315894957881,0.0004994689257067647,Not Normal
gpi_all,0.4737478979687046,1.5952995284423377e-20,Not Normal
gpi_sc,0.2097440323181632,1.9966827261513386e-24,Not Normal
gpi_st,0.541313252934088,2.7521671522374376e-19,Not Normal
enr_phd_male,0.7926022319214407,5.943124144809817e-13,Not Normal
enr_phd_female,0.7539853969506148,3.3704206485505875e-14,Not Normal
enr_phd_total,0.7821108422630195,2.632454244136431e-13,Not Normal
enr_pg_male,0.77421865882178,1.4523595537816525e-13,Not Normal
enr_pg_female,0.7767928952024693,1.7604229071548862e-13,Not Normal
enr_pg_total,0.7764088972196589,1.7104574861447382e-13,Not Normal
enr_ug_male,0.7441501131689274,1.7083359865253015e-14,Not Normal
enr_ug_female,0.7379609876562856,1.1245501325322306e-14,Not Normal
enr_ug_total,0.7435329993679027,1.6380499731363138e-14,Not Normal
enr_grand_male,0.6802628489306951,3.094261702886646e-16,Not Normal
enr_grand_female,0.6862605557233535,4.393091776871422e-16,Not Normal
enr_grand_total,0.684692116968239,4.006475914088051e-16,Not Normal
enr_sc_male,0.7050338341325106,1.3592333315786341e-15,Not Normal
enr_sc_female,0.683325726446349,3.6985069659076263e-16,Not Normal
enr_sc_total,0.6949519428371335,7.364498329961179e-16,Not Normal
enr_st_male,0.8065397483107287,1.8346078023988035e-12,Not Normal
enr_st_female,0.8147360468854705,3.6546546149733175e-12,Not Normal
enr_st_total,0.8131403344445344,3.1906240949454534e-12,Not Normal
enr_obc_male,0.7125683973417041,2.1703142472970695e-15,Not Normal
enr_obc_female,0.6913465937365149,5.936261967951393e-16,Not Normal
enr_obc_total,0.7040834230771742,1.2821116144297565e-15,Not Normal
enr_pwd_male,0.7505623990695713,2.6548598025870713e-14,Not Normal
enr_pwd_female,0.680741484503797,3.181467250741984e-16,Not Normal
enr_pwd_total,0.7366549427695979,1.0305042438422269e-14,Not Normal
enr_muslim_male,0.749383461151678,2.446689691884757e-14,Not Normal
enr_muslim_female,0.7027551245784458,1.1818697535218165e-15,Not Normal
enr_muslim_total,0.7268624662877575,5.405827134371188e-15,Not Normal
ptr_all_reg_dist,0.8663916644784978,4.910297109508585e-10,Not Normal
ptr_all_reg,0.818173890996435,4.910008271763456e-12,Not Normal
teacher_total_male,0.7660347302055314,7.958624997970017e-14,Not Normal
teacher_total_female,0.760959963342728,5.5215687657588876e-14,Not Normal
teacher_total,0.7709923825898645,1.1436885944155082e-13,Not Normal
teacher_sc_male,0.6873259567857712,4.6776694562999375e-16,Not Normal
teacher_sc_female,0.6574438504530201,8.507562480913202e-17,Not Normal
teacher_sc_total,0.6932645174939436,6.656129422124381e-16,Not Normal
teacher_st_male,0.809762022585541,2.39968765244189e-12,Not Normal
teacher_st_female,0.8630638115036274,3.4593926322770224e-10,Not Normal
teacher_st_total,0.8534790907342351,1.3000221796358225e-10,Not Normal
teacher_obc_male,0.5993121203774627,4.1305884799917345e-18,Not Normal
teacher_obc_female,0.46064272138539475,9.485609878445069e-21,Not Normal
teacher_obc_total,0.5400472736139176,2.6018005579828146e-19,Not Normal
total_universities,0.8962699689977965,1.5132520165969518e-08,Not Normal
imputed_flag,0.580217255672747,1.642231585181704e-18,Not Normal
