year,state,ger_all_total,gpi_all,gpi_sc,gpi_st,enr_phd_male,enr_phd_female,enr_phd_total,enr_pg_male,enr_pg_female,enr_pg_total,enr_ug_male,enr_ug_female,enr_ug_total,enr_grand_male,enr_grand_female,enr_grand_total,enr_sc_male,enr_sc_female,enr_sc_total,enr_st_male,enr_st_female,enr_st_total,enr_obc_male,enr_obc_female,enr_obc_total,enr_pwd_male,enr_pwd_female,enr_pwd_total,enr_muslim_male,enr_muslim_female,enr_muslim_total,ptr_all_reg_dist,ptr_all_reg,teacher_total_male,teacher_total_female,teacher_total,teacher_sc_male,teacher_sc_female,teacher_sc_total,teacher_st_male,teacher_st_female,teacher_st_total,teacher_obc_male,teacher_obc_female,teacher_obc_total,total_universities,imputed_flag,log_enr_grand_total,log_enr_ug_total,log_enr_pg_total,log_teacher_total,log_total_universities,student_teacher_ratio,students_per_university,teachers_per_university,female_participation_ratio,phd_ratio,pg_ratio
2018-19,Andaman And Nicobar Islands,23.2,1.29,1.01,1.6,44.0,23.0,67.0,629.0,966.0,1595.0,3804.0,4885.0,8689.0,4532.0,5599.0,10131.0,57.0,20.0,77.0,196.0,317.0,513.0,1395.0,1684.0,3079.0,20.0,17.0,37.0,263.0,376.0,639.0,25.0,16.0,265.0,192.0,457.0,11.0,2.0,13.0,5.0,11.0,16.0,53.0,41.0,94.0,0.0,1,9.223454011121566,9.069928218259438,7.3752557780097545,6.126869184114185,0.0,22.12008733624454,10131.0,457.0,0.5526056060007896,0.006612712198973549,0.15742202921437032
2019-20,Andaman And Nicobar Islands,19.9858,1.2571,1.0332,1.8954,5.0,9.0,14.0,571.0,969.0,1540.0,3397.0,4059.0,7456.0,4532.0,5599.0,10131.0,42.0,11.0,53.0,151.0,286.0,437.0,1122.0,1539.0,2661.0,18.0,44.0,62.0,166.0,304.0,470.0,21.8812,13.0259,254.0,209.0,463.0,11.0,3.0,14.0,4.0,11.0,15.0,42.0,40.0,82.0,0.0,1,9.223454011121566,8.916908467543795,7.340186835320115,6.139884552226255,0.0,21.834051724137932,10131.0,463.0,0.5526056060007896,0.0013817607579944729,0.15199368337939204
2020-21,Andaman And Nicobar Islands,24.2619,1.2557,1.0162,1.5458,7.0,12.0,19.0,582.0,979.0,1561.0,4055.0,4672.0,8727.0,5534.0,6431.0,11965.0,32.0,15.0,47.0,186.0,276.0,462.0,1581.0,1888.0,3469.0,22.0,34.0,56.0,255.0,363.0,618.0,26.4128,17.0795,249.0,204.0,453.0,12.0,4.0,16.0,3.0,10.0,13.0,43.0,46.0,89.0,0.0,1,9.389824573949976,9.074291527512907,7.3537223303996315,6.118097198041348,0.0,26.354625550660792,11965.0,453.0,0.5374394116663881,0.0015878321912084238,0.13045295002507104
2021-22,Andaman And Nicobar Islands,22.6,1.298,1.0104,1.5481,5.0,9.0,14.0,575.0,942.0,1517.0,3807.0,4444.0,8251.0,5200.0,6227.0,11427.0,42.0,11.0,53.0,192.0,283.0,475.0,1437.0,1806.0,3243.0,27.0,39.0,66.0,239.0,370.0,609.0,25.281,16.365,247.0,205.0,452.0,12.0,3.0,15.0,3.0,10.0,13.0,43.0,48.0,91.0,0.0,1,9.343821763350663,9.018210874191142,7.325148957955575,6.115892125483034,0.0,25.225165562913908,11427.0,452.0,0.5448897444872244,0.001225061253062653,0.13274413720686035
2018-19,Andhra Pradesh,32.4,0.81,0.84,0.76,3054.0,1927.0,4981.0,112753.0,98539.0,211292.0,741636.0,625754.0,1367390.0,327.0,636.0,963.0,155601.0,135201.0,290802.0,42159.0,36528.0,78687.0,431061.0,334446.0,765507.0,1597.0,928.0,2525.0,33309.0,25470.0,58779.0,18.0,16.0,64591.0,34807.0,99398.0,8149.0,5597.0,13746.0,1147.0,457.0,1604.0,24114.0,11756.0,35870.0,41.0,0,6.871091294610546,14.128415102606033,12.261001074801728,11.506897332231887,3.7376696182833684,0.0096882262397006,22.928571428571427,2366.6190476190477,0.6597510373443983,5.16701244813278,219.1825726141079
2019-20,Andhra Pradesh,35.21,0.8397,0.867,0.7615,3837.0,2879.0,6716.0,112024.0,105816.0,217840.0,798084.0,694983.0,1493067.0,1021126.0,876023.0,1897149.0,167358.0,149215.0,316573.0,47292.0,40939.0,88231.0,464389.0,373065.0,837454.0,1683.0,982.0,2665.0,34050.0,27245.0,61295.0,19.0215,16.3681,64116.0,35621.0,99737.0,8044.0,5712.0,13756.0,1114.0,512.0,1626.0,24177.0,12106.0,36283.0,41.0,0,14.455863318010401,14.216343621364922,12.29152071786226,11.510302026763515,3.7376696182833684,19.021325873789326,45170.21428571428,2374.690476190476,0.46175737290145746,0.0035400469124739742,0.11482486888227078
2020-21,Andhra Pradesh,37.199,0.9411,0.9766,0.867,4283.0,2708.0,6991.0,98570.0,97244.0,195814.0,846588.0,759307.0,1605895.0,1056065.0,931553.0,1987618.0,171844.0,160275.0,332119.0,48475.0,44369.0,92844.0,463929.0,386063.0,849992.0,1659.0,957.0,2616.0,28338.0,23313.0,51651.0,19.3702,17.8795,64608.0,38004.0,102612.0,8264.0,6329.0,14593.0,1096.0,539.0,1635.0,24233.0,13011.0,37244.0,45.0,0,14.502447997932071,14.28919241423136,12.184925614928718,11.538719909345344,3.828641396489095,19.370040833032853,43209.086956521736,2230.695652173913,0.4686778502318603,0.0035172736827329583,0.0985168686755359
2021-22,Andhra Pradesh,36.5,0.9337,0.9686,0.8824,3237.0,2346.0,5583.0,93141.0,91801.0,184942.0,828981.0,740069.0,1569050.0,1028739.0,900420.0,1929159.0,174877.0,162015.0,336892.0,50146.0,46729.0,96875.0,481074.0,394159.0,875233.0,1361.0,1167.0,2528.0,32718.0,23726.0,56444.0,17.9131,16.0189,65930.0,40608.0,106538.0,8669.0,6899.0,15568.0,1210.0,597.0,1807.0,24660.0,14030.0,38690.0,47.0,0,14.472595232979003,14.265981535967015,12.1278029484773,11.576266394280891,3.871201010907891,18.10753808464506,40190.8125,2219.5416666666665,0.46674200170022184,0.002894005681229136,0.0958665947873686
2018-19,Arunachal Pradesh,29.7,0.99,0.915,1.01,396.0,280.0,676.0,3796.0,4287.0,8083.0,17976.0,17966.0,35942.0,265.0,84.0,349.0,304.0,192.0,496.0,16486.0,18557.0,35043.0,916.0,692.0,1608.0,19.0,9.0,28.0,94.0,42.0,136.0,31.0,22.0,959.0,545.0,1504.0,40.0,10.0,50.0,360.0,363.0,723.0,133.0,52.0,185.0,10.0,1,5.857933154483459,10.489689629308009,8.997642078523512,7.316548177182976,2.3978952727983707,0.23189368770764118,31.727272727272727,136.72727272727272,0.24,1.9314285714285715,23.094285714285714
2019-20,Arunachal Pradesh,35.3805,0.9381,0.8425,0.9097,597.0,469.0,1066.0,4960.0,5880.0,10840.0,20418.0,19017.0,39435.0,28801.0,27015.0,55816.0,750.0,729.0,1479.0,19078.0,19264.0,38342.0,1141.0,772.0,1913.0,9.0,5.0,14.0,91.0,59.0,150.0,27.8523,19.8388,1213.0,791.0,2004.0,63.0,19.0,82.0,500.0,530.0,1030.0,170.0,67.0,237.0,10.0,1,10.929833761468329,10.582434383694933,9.291090521661292,7.60339933974067,2.3978952727983707,27.838403990024936,5074.181818181818,182.1818181818182,0.48399233208520703,0.01909812422738592,0.19420606625221706
2020-21,Arunachal Pradesh,33.7434,0.9443,0.9394,0.9657,470.0,258.0,728.0,5623.0,5814.0,11437.0,22310.0,20017.0,42327.0,31465.0,28270.0,59735.0,670.0,407.0,1077.0,20576.0,21101.0,41677.0,1222.0,845.0,2067.0,22.0,10.0,32.0,53.0,40.0,93.0,27.6679,5.9055,1233.0,926.0,2159.0,58.0,20.0,78.0,520.0,624.0,1144.0,157.0,55.0,212.0,10.0,1,10.997690132715537,10.653204084583967,9.344696424475261,7.67786350067821,2.3978952727983707,27.65509259259259,5430.454545454545,196.27272727272728,0.47324896209990625,0.012186955939466988,0.1914590866479175
2021-22,Arunachal Pradesh,36.5,0.8984,1.0415,0.8957,441.0,240.0,681.0,6481.0,6215.0,12696.0,25094.0,21201.0,46295.0,34995.0,29895.0,64890.0,609.0,338.0,947.0,24790.0,23529.0,48319.0,1291.0,822.0,2113.0,24.0,28.0,52.0,65.0,42.0,107.0,28.2992,23.3297,1276.0,1017.0,2293.0,62.0,20.0,82.0,548.0,704.0,1252.0,167.0,61.0,228.0,10.0,1,11.080464218191493,10.742810843253675,9.449121024069791,7.738052297689316,2.3978952727983707,28.286835222319095,5899.090909090909,208.45454545454547,0.4606956280531969,0.01049452158234578,0.19565116888320414
